Traditional	Study Order	Pinyin	Meaning	Story
一	0001	yī	one	A single proud line stands alone, singing "Yeeee!" - this is number one!
二	0002	èr	two	Two parallel lines stack up, yelling "ERR!" when you count twice!
三	0003	sān	three	Three horizontal lines rise like stairs, singing "Saaaan-shine" in harmony!
四	0004	sì	four	Inside the box, your four items command "See this!" sharply!
五	0005	wǔ	five	Five strokes converge at the crossing point, calling out "Woo"!
六	0006	liù	six	A lid over eight yells "Leo!" for six sharp reasons!
七	0007	qī	seven	Seven kids drew slashes across the night sky with bright sparklers, yelling "Chee!"!
八	0008	bā	eight	Eight paths diverge like spreading wings, calling "Baaaa!" as they separate!
九	0009	jiǔ	nine	Nine hooks around like a curving tail, bending as it says "Jiu"!
十	0010	shí	ten	A cross at ten keeps asking "Shi? Why ten?" curiously!
口	0011	kǒu	Mouth	Your mouth forms a perfect square, speaking "Ko" clearly spoken through parted lips!
日	0012	rì	Day	The sun yells "REE!" sharply to wake you each day!
月	0013	yuè	Month	The crescent moon marks time's passage, whispering "Yue!" as each month turns!
田	0014	tián	Rice Field	In the rice field, farmers ask "Tian? Why so muddy?" curiously!
目	0015	mù	Eye	Your eye angrily yells "MOO!" when dust gets in it!
古	0016	gǔ	ancient	The stone takes the shape of ancient, calling out "Gu" - a vivid image to remember!
胡	0017	hú	recklessly	A reckless fool with wild whiskers asks "Who? Hu?" questioning everything!
吾	0018	wú	I (literary)	"I," says the mouth, questioning "Wu? Am I important?" with a sigh!
朋	0019	péng	Companion	Two moons ask "Peng? Why are we companions?" questioning their friendship!
明	0020	míng	bright	The sun and moon together question "Ming? Why so bright?" curiously!
唱	0021	chàng	to sing	With your mouth, you command the sun to sing "Chang!" sharply!
晶	0022	jīng	sparkling	Three suns sparkle cheerfully, singing "Jing!" high and happy!
品	0023	pǐn	Goods	Three mouths bend down, drooping as they inspect goods saying "Pin"!
昌	0024	chāng	prosperous	Two suns rise high, singing "Chang!" to celebrate prosperity!
早	0025	zǎo	early	The morning sun still hangs low at dawn's early hour, yawning "Zao"!
旭	0026	xù	Rising Sun	See how the sun forms rising sun? It shouts "Shu!" sharply as sunlight streams across the sky!
世	0027	shì	Generation	Three tens stack up, yelling "Shi!" for each generation sharply!
胃	0028	wèi	Stomach	Your stomach with a field inside yells "Way!" angrily when hungry!
旦	0029	dàn	Daybreak	At daybreak, the sun commands "Dan!" sharply above the horizon!
凹	0030	āo	concave	The strokes unite to show concave, singing "Aaooo!" cheerfully!
凸	0031	tū	convex	The stick stands for convex, singing "Too!" cheerfully - a vivid image to remember!
自	0032	zì	oneself	A nose points to oneself, yelling "Zi!" sharply with pride!
白	0033	bái	white	The white sun asks "Bai? Why so bright?" questioning curiously!
百	0034	bǎi	hundred	The white sun shines over a single line - one hundred times, calling "Bai"!
皂	0035	zào	Soap	The white stands for soap, shouting "Zao!" sharply - a vivid image to remember!
中	0036	zhōng	Middle	An arrow pierces straight through the middle, striking "Zhong!" at the bull's-eye!
千	0037	qiān	thousand	A thousand people sing "Chian!" cheerfully marching together!
舌	0038	shé	Tongue	Your tongue in your mouth asks "She? Why taste this?" questioning!
升	0039	shēng	Liter	A liter rises up cheerfully singing "Sheng!" to the top!
昇	0040	shēng	to rise up	The sun rises high, happily singing "Sheng!" at dawn!
丸	0041	wán	Pill	A round pill asks "Wan? Why swallow me?" questioning curiously!
卜	0042	bǔ	Divination	See how the stick forms divination? It whispers "Bu" softly!
占	0043	zhàn	to tell fortunes	Your mouth commands the divination sharply "Zhan! Tell my fortune!"
上	0044	shàng	above	Above the line, an arrow yells "Shang!" pointing up sharply!
下	0045	xià	below	Below the line, an arrow commands "Xia!" pointing down sharply!
卡	0046	kǎ	Card	A card bends and dips between above and below saying "Ka"!
卓	0047	zhuó	eminent	An eminent person stands above, questioning "Zhuo? Am I tall enough?" curiously!
朝	0048	cháo	Dynasty	The dynasty sun and moon question "Chao? Why our reign?" curiously!
嘲	0049	cháo	to ridicule	The mouth ridicules, questioning "Chao? You call that a dynasty?" mockingly!
只	0050	zhǐ	only	Like a mouth, this character means only and whispers "Zhi" spoken through parted lips!
貝	0051	bèi	Shellfish	With a shellfish combined with a shell, you get shellfish - "Bay!" rings out sharply!
貼	0052	tiē	to paste	When the stick meets the shellfish, they form to paste, singing "Tieh!" cheerfully!
貞	0053	zhēn	chaste	The shellfish stands for chaste, singing "Zhen!" cheerfully!
員	0054	yuán	Employee	Your employee shellfish asks "Yuan? Where's my paycheck?" questioning!
見	0055	jiàn	to see	Eyes on legs command "Jian! See this!" sharply!
元	0056	yuán	Beginning	At the beginning, two legs question "Yuan? Why start here?" curiously!
頁	0057	yè	Page	The page head yells "Yeh!" sharply when turned!
頑	0058	wán	stubborn	A stubborn head questions "Wan? Why should I?" refusing to budge!
凡	0059	fán	ordinary	An ordinary table sighs "Fan? Why so plain?" questioning its fate!
肌	0060	jī	Muscle	Muscles sing "Jee!" cheerfully when flexing happily!
負	0061	fù	defeated	The shell takes the shape of defeated, shouting "Fu!" sharply!
勻	0062	yún	uniform	An striking symbol for uniform that asks "Yun? Why equal?" curiously!
句	0063	jù	Sentence	The mouth takes the shape of sentence, shouting "Ju!" sharply!
旬	0064	xún	Decameron	Ten days question "Shun? Already a decameron?" asking where time went!
勺	0065	sháo	Ladle	The ladle asks "Shao? Why scoop this?" questioning curiously!
的	0066	de	Bull's Eye	The white ladle hits the bull's eye, saying "duh" neutrally!
首	0067	shǒu	Heads	Picture heads taking form - it whispers "Sho" with vivid energy!
直	0068	zhí	straight	Like an eye, this character means straight and asks "Zhi? Why so direct?"!
置	0069	zhì	to set up	Set up the net straight, commanding "Zhi!" sharply in place!
具	0070	jù	Tool	The crowded tool table had eyes painted on everything - juice boxes included!
真	0071	zhēn	true	Ten eyes sing "Zhen!" happily seeing the truth!
工	0072	gōng	the Work	The construction workers sang "Gong!" as they lifted the beams.
左	0073	zuǒ	Left	The hand stands for left, whispering "Zuo" softly reached by outstretched fingers!
右	0074	yòu	Right	Picture a mouth beside a hand: that's right, shouting "Yo!" sharply!
有	0075	yǒu	to possess	To possess the moon with your right hand, it bends drooping saying "Yo"!
賄	0076	huì	bribe	A bribe of shellfish yells "Hway!" sharply with each corrupt hand!
貢	0077	gòng	Tribute	Tribute of work and shellfish commands "Gong!" sharply to the emperor!
項	0078	xiàng	Item	The item page of your head yells "Shyang!" sharply!
刀	0079	dāo	Sword	See how the sword forms sword? It sings "Dao!" cheerfully - a vivid image to remember!
刃	0080	rèn	Blade	A dot on the blade yells "Ren!" sharply at the edge!
切	0081	qiè	to cut	Cut with one sword, commanding "Chieh!" sharply!
召	0082	zhào	to summon	Summon with your mouth and sword, yelling "Zhao!" sharply!
昭	0083	zhāo	evident	See how the sun forms evident? It sings "Zhao!" cheerfully as sunlight streams across the sky!
則	0084	zé	Rule	The rule with shellfish and sword questions "Zeh? Why obey?" curiously!
副	0085	fù	vice-	The vice stands beside with a sword, commanding "Fu!" sharply!
丁	0086	dīng	fourth	See how the nail forms fourth? It sings "Ding!" cheerfully - a vivid image to remember!
叮	0087	dīng	to sting	When the nail meets the mouth, they form to sting, singing "Ding!" cheerfully!
可	0088	kě	can	You can use your mouth bent down drooping saying "Kuh"!
哥	0089	gē	Older Brother	This character represents older brother, singing "Guh!" cheerfully!
頂	0090	dǐng	crest	Picture crest taking form - it whispers "Ding" with vivid energy!
