Character	Pinyin	Tone	Meaning	Story
一	yī	1	one	A single happy line sings "Yeeee!" at number one!
二	èr	4	two	Two angry lines yell "ERR!" when you make a mistake!
三	sān	1	three	Three cheerful lines sing "Saaaan-shine" together!
四	sì	4	four	Inside the box, your four items command "See this!" sharply!
五	wǔ	3	five	Five fingers bend down drooping as you say "Woo" sadly!
六	liù	4	six	A lid over eight yells "Leo!" for six sharp reasons!
七	qī	1	seven	Seven slashes happily high in the sky, singing "Chee!"
八	bā	1	eight	Eight paths split cheerfully as you sing "Baaaa!"
九	jiǔ	3	nine	Nine hooks bend and dip down, curving like "Jiu" bends!
十	shí	2	ten	A cross at ten keeps asking "Shi? Why ten?" curiously!
口	kǒu	3	Mouth	Your mouth bends down drooping when you say "Ko" with a frown!
日	rì	4	Day	The sun yells "REE!" sharply to wake you each day!
月	yuè	4	Month	The moon commands "Yue!" sharply each month it appears!
田	tián	2	Rice Field	In the rice field, farmers ask "Tian? Why so muddy?" curiously!
目	mù	4	Eye	Your eye angrily yells "MOO!" when dust gets in it!
古	gǔ	3	ancient	Ancient stone tablets bend and droop, curved with age like "Gu"!
胡	hú	2	recklessly	A reckless fool with wild whiskers asks "Who? Hu?" questioning everything!
吾	wú	2	I (literary)	"I," says the mouth, questioning "Wu? Am I important?" with a sigh!
朋	péng	2	Companion	Two moons ask "Peng? Why are we companions?" questioning their friendship!
明	míng	2	bright	The sun and moon together question "Ming? Why so bright?" curiously!
唱	chàng	4	to sing	With your mouth, you command the sun to sing "Chang!" sharply!
晶	jīng	1	sparkling	Three suns sparkle cheerfully, singing "Jing!" high and happy!
品	pǐn	3	Goods	Three mouths bend down, drooping as they inspect goods saying "Pin"!
昌	chāng	1	prosperous	Two suns rise high, singing "Chang!" to celebrate prosperity!
早	zǎo	3	early	Early morning sun bends down drooping low, still saying "Zao"!
旭	xù	4	Rising Sun	The rising sun commands sharply "Shu!" to wake everyone!
世	shì	4	Generation	Three tens stack up, yelling "Shi!" for each generation sharply!
胃	wèi	4	Stomach	Your stomach with a field inside yells "Way!" angrily when hungry!
旦	dàn	4	Daybreak	At daybreak, the sun commands "Dan!" sharply above the horizon!
凹	āo	1	concave	A concave pit sings "Aaooo!" happily echoing high inside!
凸	tū	1	convex	Convex bumps rise high, cheerfully singing "Too!" as they stick out!
自	zì	4	oneself	A nose points to oneself, yelling "Zi!" sharply with pride!
白	bái	2	white	The white sun asks "Bai? Why so bright?" questioning curiously!
百	bǎi	3	hundred	A hundred bends down drooping under one white sun saying "Bai"!
皂	zào	4	Soap	Soap commands "Zao!" sharply to clean everything white!
中	zhōng	1	Middle	An arrow happily sings "Zhong!" straight through the middle target!
千	qiān	1	thousand	A thousand people sing "Chian!" cheerfully marching together!
舌	shé	2	Tongue	Your tongue in your mouth asks "She? Why taste this?" questioning!
升	shēng	1	Liter	A liter rises up cheerfully singing "Sheng!" to the top!
昇	shēng	1	to rise up	The sun rises high, happily singing "Sheng!" at dawn!
